,Index,Country,Gender,Demographics Question,Demographics Response,Question,Value,Status
0,0,Afghanistan,F,Marital status,Never married,... if she burns the food,45.38,Very Low
1,1,Afghanistan,F,Education,Higher,... if she burns the food,10.1,Medium
2,2,Afghanistan,F,Education,Secondary,... if she burns the food,13.7,Medium
3,3,Afghanistan,F,Education,Primary,... if she burns the food,13.8,Medium
4,4,Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,13.8,Medium
5,5,Afghanistan,F,Employment,Employed for kind,... if she burns the food,17.0,Medium
6,6,Afghanistan,F,Age,15-24,... if she burns the food,17.3,Medium
7,7,Afghanistan,F,Employment,Unemployed,... if she burns the food,18.0,Medium
8,8,Afghanistan,F,Residence,Rural,... if she burns the food,18.1,Medium
9,9,Afghanistan,F,Age,25-34,... if she burns the food,18.2,Medium
10,10,Afghanistan,F,Marital status,Married or living together,... if she burns the food,18.3,Medium
11,11,Afghanistan,F,Residence,Urban,... if she burns the food,18.3,Medium
12,12,Afghanistan,F,Age,35-49,... if she burns the food,18.8,Medium
13,13,Afghanistan,F,Education,No education,... if she burns the food,19.1,Medium
14,14,Afghanistan,F,Employment,Employed for cash,... if she burns the food,20.8,Medium
15,15,Afghanistan,M,Marital status,Never married,... if she burns the food,34.3,Low
16,16,Afghanistan,M,Education,Higher,... if she burns the food,4.5,Very High
17,17,Afghanistan,M,Residence,Urban,... if she burns the food,4.6,Very High
18,18,Afghanistan,M,Employment,Unemployed,... if she burns the food,5.2,High
19,19,Afghanistan,M,Education,Primary,... if she burns the food,6.3,High
20,20,Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,6.3,High
21,21,Afghanistan,M,Education,Secondary,... if she burns the food,7.1,High
22,22,Afghanistan,M,Age,25-34,... if she burns the food,8.2,High
23,23,Afghanistan,M,Employment,Employed for cash,... if she burns the food,8.4,High
24,24,Afghanistan,M,Marital status,Married or living together,... if she burns the food,8.5,High
25,25,Afghanistan,M,Age,35-49,... if she burns the food,8.6,High
26,26,Afghanistan,M,Age,15-24,... if she burns the food,9.4,High
27,27,Afghanistan,M,Residence,Rural,... if she burns the food,9.7,High
28,28,Afghanistan,M,Education,No education,... if she burns the food,10.6,Medium
29,29,Afghanistan,M,Employment,Employed for kind,... if she burns the food,10.7,Medium
30,30,Afghanistan,F,Age,15-24,... for at least one specific reason,80.1,Very Low
31,31,Afghanistan,F,Age,25-34,... for at least one specific reason,81.5,Very Low
32,32,Afghanistan,F,Age,35-49,... for at least one specific reason,79.0,Very Low
33,33,Afghanistan,F,Age,15-24,... if she argues with him,57.5,Very Low
34,34,Afghanistan,F,Age,25-34,... if she argues with him,60.0,Very Low
35,35,Afghanistan,F,Age,35-49,... if she argues with him,59.8,Very Low
